date,V1
1COV GY Equity,0
A2A IM Equity,0
AAL LN Equity,0
AALB NA Equity,0
ABBN SE Equity,0
ABF LN Equity,0.000613550593434585
ABI BB Equity,0
ABN NA Equity,0.0145225376905318
AC FP Equity,0
ACA FP Equity,0.00806936585653031
ACKB BB Equity,0
ACS SQ Equity,0
AD NA Equity,0
ADEN SE Equity,0
ADEN SW Equity,0.00751950182493802
ADM LN Equity,-0.00163038729792786
ADP FP Equity,0
ADS GY Equity,0
AENA SQ Equity,0
AF FP Equity,0
AGK LN Equity,0
AGM LN Equity,0.000970307998226288
AGN NA Equity,0
AGS BB Equity,-0.00501960604937652
AHT LN Equity,0.00913495768337607
AI FP Equity,-0.00328079173266056
AIBG ID Equity,0
AIR FP Equity,0
AKE FP Equity,0
AKERBP NO Equity,0
AKZA NA Equity,0
ALFA SS Equity,0
ALO FP Equity,0
ALT FP Equity,0
ALV GY Equity,0
AM FP Equity,0
AMBUB DC Equity,0
AMEAS FH Equity,0
AMS SE Equity,0
AMS SQ Equity,0
AMUN FP Equity,0
ANDR AV Equity,0
ANTO LN Equity,0
ARGX BB Equity,0
ARL GY Equity,0
ASCL LN Equity,0.00243066439607824
ASM NA Equity,0
ASML NA Equity,0.00915313867880663
ASRNL NA Equity,0
ASSAB SS Equity,0
AT1 GY Equity,0
ATC NA Equity,0
ATCOA SS Equity,0
ATE FP Equity,0
ATL IM Equity,-0.00396389834847495
ATO FP Equity,0
AUTO LN Equity,0
AV/ LN Equity,-0.00587260253486033
AZA SS Equity,0.00294511030078201
AZN LN Equity,0
B4B GY Equity,0
BA/ LN Equity,0.00212571747191032
BAB LN Equity,0
BAER SE Equity,0
BAER SW Equity,-0.00363499723253325
BALDB SS Equity,0
BALN SE Equity,0
BAMI IM Equity,0
BARC LN Equity,0.00197232590149293
BARN SE Equity,0
BAS GY Equity,0
BATS LN Equity,0
BAYN GY Equity,0.0117939632318489
BB FP Equity,0
BBA LN Equity,0
BBVA SM Equity,-0.00908701622841773
BBVA SQ Equity,0
BBY LN Equity,0.00790463631274343
BCP PL Equity,0
BDEV LN Equity,-0.00471324841129612
BEI GY Equity,0
BESI NA Equity,0
BEZ LN Equity,0
BG AV Equity,0.00699476886503396
BILL SS Equity,0
BIM FP Equity,0
BION SE Equity,0
BIRG ID Equity,0.0106796664775133
BKG LN Equity,-0.00149518151642364
BKIA SQ Equity,0
BKT SM Equity,-0.00760315170311362
BKT SQ Equity,0
BLND LN Equity,-0.00699607580566567
BLT LN Equity,0
BME LN Equity,0
BME SQ Equity,0
BMW GY Equity,0
BN FP Equity,0
BNP FP Equity,0
BNR GY Equity,0
BNZL LN Equity,-0.0039718774378552
BOKA NA Equity,0
BOL FP Equity,0
BOL SS Equity,0
BOSS GY Equity,0
BP/ LN Equity,0
BPE IM Equity,0
BRBY LN Equity,-0.00201991553450482
BT/A LN Equity,0
BTG LN Equity,0
BUCN SE Equity,0
BVI FP Equity,0
BVIC LN Equity,0
BWY LN Equity,0.00569539123981149
CA FP Equity,0
CABK SM Equity,-0.00505908298090733
CABK SQ Equity,0
CAC Index,-0.0289131904757758
CAP FP Equity,0.0173417957895754
CAPC LN Equity,0
CARLB DC Equity,-0.0091107332972403
CAST SS Equity,0
CBG LN Equity,0
CBK GY Equity,0.00615462137760655
CCH LN Equity,0
CCL LN Equity,0
CDI FP Equity,0
CERV IM Equity,0.0135786094684176
CEZ CK Equity,0
CFR SE Equity,0
CGG FP Equity,0.00459699434135286
CHR DC Equity,0
CINE LN Equity,0
CLN SE Equity,0
CLNX SQ Equity,0
CMBN SE Equity,0
CNA LN Equity,0
CNHI IM Equity,0
CNP FP Equity,0
CO FP Equity,0
COA LN Equity,0.000887444539856254
COB LN Equity,0
COFB BB Equity,0
COL SQ Equity,0
COLOB DC Equity,0
COLR BB Equity,-0.00100462094665451
CON GY Equity,0.0118692328401437
COV FP Equity,0
CPG LN Equity,0
CPI LN Equity,0
CPR IM Equity,0
CRDA LN Equity,-0.00688012080945421
CRH ID Equity,0.00595362867346465
CRH LN Equity,0
CS FP Equity,0
CSGN SE Equity,0
CSGN SW Equity,-0.00204101033635722
CSP LN Equity,0.00901870698729743
CTEC LN Equity,0
CYBG LN Equity,0
DAI GY Equity,0.00109992871185472
DANSKE DC Equity,0
DAX Index,-0.00630645623560688
DB1 GY Equity,0
DBK GY Equity,0
DC/ LN Equity,0
DCC LN Equity,0
DEC FP Equity,0
DG FP Equity,0
DGE LN Equity,0
DHER GY Equity,0
DKSH SE Equity,0
DLG LN Equity,0
DLN LN Equity,0.0039923375766705
DMGT LN Equity,0
DMP GY Equity,0.0054430159164001
DNB NO Equity,-0.00624537617776481
DOKA SE Equity,0
