name,class,rows,cols,na_count,fn,timestamp
duke_drop_one_manager_pnl,matrix,731,7,0,N:/Depts/Share/UK Alpha Team/Analytics/duke_summary/duke_drop_one_manager_pnl.csv,2018-07-11 06:36:47
duke_drop_one_pair_pnl,matrix,731,86,0,N:/Depts/Share/UK Alpha Team/Analytics/duke_summary/duke_drop_one_pair_pnl.csv,2018-07-11 06:36:47
duke_exposure,matrix,680,1,0,N:/Depts/Share/UK Alpha Team/Analytics/duke_summary/duke_exposure.csv,2018-07-11 06:36:47
duke_local_pnl,matrix,731,1,0,N:/Depts/Share/UK Alpha Team/Analytics/duke_summary/duke_local_pnl.csv,2018-07-11 06:36:47
duke_long_exposure,matrix,680,1,0,N:/Depts/Share/UK Alpha Team/Analytics/duke_summary/duke_long_exposure.csv,2018-07-11 06:36:47
duke_manager_drop_one_pair_pnl,matrix,731,86,0,N:/Depts/Share/UK Alpha Team/Analytics/duke_summary/duke_manager_drop_one_pair_pnl.csv,2018-07-11 06:36:47
duke_manager_exposure,matrix,680,7,0,N:/Depts/Share/UK Alpha Team/Analytics/duke_summary/duke_manager_exposure.csv,2018-07-11 06:36:47
duke_manager_local_pnl,matrix,731,7,0,N:/Depts/Share/UK Alpha Team/Analytics/duke_summary/duke_manager_local_pnl.csv,2018-07-11 06:36:47
duke_pair_days,matrix,680,86,0,N:/Depts/Share/UK Alpha Team/Analytics/duke_summary/duke_pair_days.csv,2018-07-11 06:36:47
duke_pair_exposure,matrix,680,86,0,N:/Depts/Share/UK Alpha Team/Analytics/duke_summary/duke_pair_exposure.csv,2018-07-11 06:36:47
duke_pair_local_pnl,matrix,731,86,0,N:/Depts/Share/UK Alpha Team/Analytics/duke_summary/duke_pair_local_pnl.csv,2018-07-11 06:36:47
duke_pair_long_pnl,matrix,731,86,0,N:/Depts/Share/UK Alpha Team/Analytics/duke_summary/duke_pair_long_pnl.csv,2018-07-11 06:36:47
duke_pair_short_pnl,matrix,731,86,0,N:/Depts/Share/UK Alpha Team/Analytics/duke_summary/duke_pair_short_pnl.csv,2018-07-11 06:36:47
duke_short_exposure,matrix,680,1,0,N:/Depts/Share/UK Alpha Team/Analytics/duke_summary/duke_short_exposure.csv,2018-07-11 06:36:47
luke_drop_one_manager_pnl,matrix,731,7,0,N:/Depts/Share/UK Alpha Team/Analytics/luke_summary/luke_drop_one_manager_pnl.csv,2018-07-11 06:36:47
luke_drop_one_pair_pnl,matrix,731,86,0,N:/Depts/Share/UK Alpha Team/Analytics/luke_summary/luke_drop_one_pair_pnl.csv,2018-07-11 06:36:47
luke_exposure,matrix,680,1,0,N:/Depts/Share/UK Alpha Team/Analytics/luke_summary/luke_exposure.csv,2018-07-11 06:36:47
luke_gbp_pnl,matrix,731,1,0,N:/Depts/Share/UK Alpha Team/Analytics/luke_summary/luke_gbp_pnl.csv,2018-07-11 06:36:47
luke_local_pnl,matrix,731,1,0,N:/Depts/Share/UK Alpha Team/Analytics/luke_summary/luke_local_pnl.csv,2018-07-11 06:36:47
luke_long_exposure,matrix,680,1,0,N:/Depts/Share/UK Alpha Team/Analytics/luke_summary/luke_long_exposure.csv,2018-07-11 06:36:47
luke_manager_drop_one_pair_pnl,matrix,731,86,0,N:/Depts/Share/UK Alpha Team/Analytics/luke_summary/luke_manager_drop_one_pair_pnl.csv,2018-07-11 06:36:47
luke_manager_exposure,matrix,680,7,0,N:/Depts/Share/UK Alpha Team/Analytics/luke_summary/luke_manager_exposure.csv,2018-07-11 06:36:47
luke_manager_gbp_pnl,matrix,731,7,0,N:/Depts/Share/UK Alpha Team/Analytics/luke_summary/luke_manager_gbp_pnl.csv,2018-07-11 06:36:47
luke_manager_local_pnl,matrix,731,7,0,N:/Depts/Share/UK Alpha Team/Analytics/luke_summary/luke_manager_local_pnl.csv,2018-07-11 06:36:47
luke_pair_days,matrix,680,86,0,N:/Depts/Share/UK Alpha Team/Analytics/luke_summary/luke_pair_days.csv,2018-07-11 06:36:47
luke_pair_exposure,matrix,680,86,0,N:/Depts/Share/UK Alpha Team/Analytics/luke_summary/luke_pair_exposure.csv,2018-07-11 06:36:47
luke_pair_gbp_pnl,matrix,731,86,0,N:/Depts/Share/UK Alpha Team/Analytics/luke_summary/luke_pair_gbp_pnl.csv,2018-07-11 06:36:47
luke_pair_local_pnl,matrix,731,86,0,N:/Depts/Share/UK Alpha Team/Analytics/luke_summary/luke_pair_local_pnl.csv,2018-07-11 06:36:47
luke_pair_long_pnl,matrix,731,86,0,N:/Depts/Share/UK Alpha Team/Analytics/luke_summary/luke_pair_long_pnl.csv,2018-07-11 06:36:47
luke_pair_short_pnl,matrix,731,86,0,N:/Depts/Share/UK Alpha Team/Analytics/luke_summary/luke_pair_short_pnl.csv,2018-07-11 06:36:47
luke_short_exposure,matrix,680,1,0,N:/Depts/Share/UK Alpha Team/Analytics/luke_summary/luke_short_exposure.csv,2018-07-11 06:36:47
manager_col,data.table|data.frame,0,0,0,N:/Depts/Share/UK Alpha Team/Analytics/duke_summary/manager_col.csv,2018-07-11 06:36:47
pair_col,data.table|data.frame,0,0,0,N:/Depts/Share/UK Alpha Team/Analytics/duke_summary/pair_col.csv,2018-07-11 06:36:47
